dichotomous_demo,continuous_demo,S1_1,S1_2,S1_3,S1_4,S1_5,S2_1,S2_2,S2_3,S2_4,S2_5,S3_1,S3_2,S3_3,S3_4,S3_5
1,22,2,2,2,2,2,1,2,3,4,5,4,4,4,3,4
2,18,2,2,2,2,2,3,5,3,1,1,1,1,3,2,1
1,18,1,1,3,3,3,3,2,3,3,2,3,2,1,1,1
1,18,2,0,1,2,2,5,3,4,4,4,4,4,4,4,4
2,19,,,,,,,,,,,,,,,
1,18,3,0,0,0,0,4,1,1,1,3,4,1,1,1,2
2,23,3,1,1,1,0,2,4,4,3,4,2,3,4,3,4
2,19,2,0,1,1,1,3,3,3,4,3,4,3,4,3,3
2,18,2,0,0,0,0,1,1,3,1,1,5,1,1,1,1
1,18,2,0,1,2,1,2,4,4,4,4,4,3,4,4,4
2,19,1,2,2,2,0,5,5,3,2,2,1,4,4,4,5
2,19,3,2,2,0,1,2,3,4,2,3,4,3,2,2,2
2,18,1,3,3,2,1,4,4,4,4,4,3,4,4,4,4
2,20,3,0,0,0,0,3,4,2,3,2,3,1,1,4,1
2,18,2,1,1,0,0,3,5,5,4,1,2,1,5,4,1
2,19,2,0,0,0,0,2,1,1,1,4,3,1,1,1,1
2,18,1,1,1,1,2,4,4,3,4,3,3,2,4,3,4
1,21,3,0,1,0,0,1,2,1,1,1,2,1,1,1,1
2,21,3,0,0,0,0,2,2,2,4,2,4,2,2,2,2
2,18,1,2,2,1,2,3,4,2,2,2,2,2,2,2,2
2,19,2,1,1,1,0,2,3,4,2,2,4,4,3,2,2
2,18,1,1,1,0,1,3,3,3,3,2,3,3,2,3,2
2,19,1,2,2,0,2,4,4,4,4,3,2,3,5,4,4
2,18,2,2,1,1,2,4,4,3,4,2,3,2,3,2,3
2,18,3,3,1,1,0,3,4,3,3,3,3,4,3,4,4
2,18,3,2,2,0,1,3,4,3,4,4,4,3,3,2,2
2,18,3,0,0,0,2,4,4,3,3,5,5,3,3,4,4
2,21,1,0,3,3,2,4,4,5,4,2,2,2,4,2,5
2,20,1,0,0,0,1,3,4,4,4,4,3,2,4,4,4
2,26,2,3,3,2,3,4,4,4,5,4,4,5,4,4,4
2,18,3,1,1,0,2,2,3,2,2,3,2,3,2,1,2
2,18,2,1,1,2,1,2,4,4,2,3,3,3,3,2,1
2,18,2,0,0,3,0,4,5,5,4,4,3,4,4,2,3
2,18,3,1,0,0,0,2,2,3,3,2,2,2,2,2,2
2,18,1,3,3,2,2,2,4,5,4,4,4,4,3,3,3
1,18,3,0,0,0,0,3,3,2,2,1,2,2,2,1,2
2,18,1,2,3,3,3,5,5,5,5,5,5,5,5,5,5
2,18,1,1,1,2,2,3,4,4,4,5,4,3,3,4,3
2,18,,,,,,,,,,,,,,,
2,18,2,1,2,2,1,4,5,4,5,4,2,2,4,4,5
2,18,0,0,0,0,0,1,2,3,4,5,3,3,3,3,3
2,19,3,2,,1,0,1,3,3,2,4,2,4,1,1,2
